id,package_name,BLOB,LM,SAK,CC,IGS,MIM,NLMR,LIC
290,net.sourceforge.opencamera,3,117,0,13,17,15,0,98
292,org.sickstache,23,175,1,55,33,54,4,167
295,net.bytten.xkcdviewer,0,3,0,0,0,0,0,19
299,com.watabou.pixeldungeon,13,284,0,34,25,72,0,153
300,com.watabou.pixeldungeon,14,294,0,36,26,74,0,155
302,com.concentricsky.android.khan,0,0,0,0,0,0,0,0
307,com.alfray.timeriffic,0,54,0,5,0,2,0,40
315,name.boyle.chris.sgtpuzzles,2,54,0,3,0,0,6,48
316,name.boyle.chris.sgtpuzzles,0,50,0,0,0,0,0,47
318,github.daneren2005.dsub,18,309,0,44,24,17,3,220
319,github.daneren2005.dsub,0,0,0,0,0,0,0,0
325,cx.ring,9,353,1,75,10,13,4,0
327,me.writeily,3,65,0,15,18,7,6,81
350,de.srlabs.snoopsnitch,0,0,0,0,0,0,0,0
351,de.srlabs.snoopsnitch,0,0,0,0,0,0,0,0
354,ro.mihai.tpt,0,24,0,3,4,9,3,18
360,com.nextcloud.client,28,335,0,57,104,36,8,173
362,com.gimranov.zandy.app,0,75,0,1,5,0,5,81
364,com.colinmcdonough.android.torch,0,0,0,0,0,0,0,0
368,app.easytoken,1,60,0,5,1,0,4,31
373,vu.de.urpool.quickdroid,0,18,0,0,0,0,0,14
374,com.kaneoriley.cyanogenport.launcher3,0,0,0,0,0,0,0,0
376,fr.herverenault.selfhostedgpstracker,0,5,0,0,0,0,1,6
378,de.szalkowski.activitylauncher,0,0,0,0,0,0,0,4
382,org.brandroid.openmanager,0,0,0,0,0,0,0,0
400,info.papdt.blackblub,5,43,1,8,8,10,0,32
409,com.nauj27.android.colorpicker,0,0,0,0,0,0,0,0
413,acr.browser.lightning,0,0,0,0,0,0,0,0
414,acr.browser.lightning,7,179,3,30,5,7,2,0
415,acr.browser.lightning,3,193,0,33,1,7,0,0
420,com.github.andlyticsproject,27,268,1,60,76,49,6,165
422,com.github.andlyticsproject,28,270,2,61,71,50,7,166
428,org.numixproject.iconsubmit,0,3,0,0,0,0,0,1
431,de.ub0r.android.callmeter,18,254,0,59,22,37,4,117
432,de.qspool.clementineremote,0,0,0,0,0,0,0,0
433,de.qspool.clementineremote,0,0,0,0,0,0,0,0
434,de.qspool.clementineremote,0,0,0,0,0,0,0,0
440,com.shahul3d.indiasatelliteweather,11,153,4,32,33,20,1,63
441,com.dozingcatsoftware.cameratimer,0,2,0,0,0,0,0,2
448,org.yuttadhammo.BodhiTimer,0,34,0,0,0,0,3,0
454,com.ghstudios.android.mhgendatabase,5,158,0,14,10,19,0,89
455,goo.TeaTimer,0,2,0,0,0,0,0,0
461,net.pmarks.chromadoze,0,37,0,5,2,1,0,13
465,org.ligi.vaporizercontrol,0,0,0,0,0,0,0,0
469,net.kervala.comicsreader,0,52,0,2,0,0,0,8
471,net.kervala.comicsreader,3,59,0,7,3,5,3,13
476,org.yaxim.androidclient,27,338,3,70,37,43,5,160
